longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,,ocean_proximity,income_cat,,median_house_value,median_house_value prediction
-118.39,34.12,29,6447,1012,2184,960,8.2816,,<1H OCEAN,5,,500001,482296.55
-120.42,34.89,24,2020,307,855,283,5.0099,,<1H OCEAN,4,,162500,195959.03
-118.45,34.25,36,1453,270,808,275,4.3839,,<1H OCEAN,3,,204600,210025
-118.1,33.91,35,1653,325,1072,301,3.2708,,<1H OCEAN,3,,159700,172900
-117.07,32.77,38,3779,614,1495,614,4.3529,,NEAR OCEAN,3,,184000,211444
-118.04,33.93,35,1805,387,1505,366,4.1667,,<1H OCEAN,3,,151900,162504
-122.27,37.83,49,1655,366,754,329,1.375,,NEAR BAY,1,,104900,118275
-122.26,37.46,26,5067,750,1996,728,7.0001,,NEAR OCEAN,5,,500001,435491.27
-122.03,37.36,16,2697,803,1369,723,4.4699,,<1H OCEAN,3,,367400,294754.02
-117.61,33.43,24,2303,399,851,379,3.9875,,NEAR OCEAN,3,,346500,248251.06
-118.32,34.06,36,3239,722,1383,612,4.5918,,<1H OCEAN,4,,337000,421964.32
-121.23,37.96,44,2204,473,1277,435,1.5539,,INLAND,2,,59200,72822
-121.2,37.81,26,395,74,193,72,7.3718,,INLAND,5,,212500,271759
-121.91,37.24,24,5046,1001,2449,968,4.7118,,<1H OCEAN,4,,274600,265638
-118.48,34.28,35,2132,368,1128,341,5.3107,,<1H OCEAN,4,,227100,235318
-117.65,34.1,44,1526,337,831,326,3.0284,,INLAND,3,,115800,129174
-121.59,39.82,12,1958,369,875,354,2.3507,,INLAND,2,,97600,91681
-118.97,35.41,36,1896,315,937,303,3.996,,INLAND,3,,85500,98396
-118.06,33.88,17,7187,1073,3844,1068,6.5901,,<1H OCEAN,5,,337400,341938.02
-118.39,33.85,24,4373,871,1830,824,5.7128,,<1H OCEAN,4,,366200,384871.15
-117.98,33.73,18,3833,,2192,996,3.4679,,<1H OCEAN,3,,219700,201124
-118.32,33.79,35,2924,658,1675,602,3.8287,,<1H OCEAN,3,,279900,302391
-120.27,34.72,14,1289,277,693,237,3.2569,,<1H OCEAN,3,,230800,200544
-119.65,36.33,52,1257,257,624,243,2.3523,,INLAND,2,,59100,67769
-119.86,36.82,12,1488,253,675,223,4.7622,,INLAND,4,,89300,111763
-119.23,35.78,8,1612,343,1230,330,2.1806,,INLAND,2,,67200,65374
-118.35,34.16,45,1390,281,538,270,4.2212,,<1H OCEAN,3,,293800,320587.02
-120.94,37.68,4,13315,2424,6420,2289,4.2471,,INLAND,3,,162100,165544
-118.99,35.24,40,282,59,213,71,2.35,,INLAND,2,,91700,85475
-121.11,37.47,12,2263,410,913,330,3.5795,,INLAND,3,,145600,138622
-118.02,34.08,28,2769,631,2452,581,2.6071,,INLAND,2,,175900,172399
-120.17,39.33,10,614,141,195,95,0.9283,,INLAND,1,,116300,98969
-118.35,34.02,34,3978,1073,2725,1035,1.7622,,<1H OCEAN,2,,167900,158630
-123.34,39.5,15,2342,535,1064,433,1.8967,,INLAND,2,,96600,84073
-122.24,40.18,39,2191,493,1307,499,1.6483,,INLAND,2,,60800,61713
-122.03,37.36,28,2490,345,948,361,6.4913,,<1H OCEAN,5,,411900,371175.04
-117.09,32.58,12,2565,567,1785,545,3.0273,,NEAR OCEAN,3,,135300,135670
-118.33,34.18,45,1552,315,785,316,3.7411,,<1H OCEAN,3,,235500,228375
-121.44,38.53,37,1951,432,1089,411,2.3272,,INLAND,2,,80600,86746
-119.7,34.43,35,1402,369,654,385,2.6205,,<1H OCEAN,2,,318800,327740.11
-117.15,34.22,10,1039,174,317,109,7.2371,,INLAND,5,,171900,252486
-118.37,33.87,18,2516,485,1128,433,5.0114,,<1H OCEAN,4,,338600,333195.01
-118.01,33.85,29,3061,612,2396,640,4.6326,,<1H OCEAN,4,,195200,205197
-122.32,37.94,47,1911,283,697,275,6.2712,,NEAR BAY,5,,267700,329485.03
-117.96,33.94,34,2228,399,1159,378,4.8906,,<1H OCEAN,4,,228900,201168
-117.96,34.14,33,1994,405,993,403,3.766,,INLAND,3,,163900,162403
-117.55,34,17,3583,700,1587,719,2.6979,,INLAND,2,,75000,114904
-122.28,37.86,41,2214,550,1213,568,2.2845,,NEAR BAY,2,,153100,159661
-117.43,34.07,18,2453,537,1503,500,2.3768,,INLAND,2,,95300,108263
-117.21,33.34,10,5294,817,2312,810,5.4563,,<1H OCEAN,4,,325700,317055.03
-120.68,37.47,33,1028,226,658,197,2.3043,,INLAND,2,,66300,94084
-122.83,38.96,15,1318,296,567,276,1.8692,,INLAND,2,,93800,85092
-122.22,37.37,26,440,202,322,218,5.1831,,NEAR OCEAN,4,,350000,417709.36
-116.87,32.75,15,2053,321,993,309,5.5164,,<1H OCEAN,4,,248900,191640
-118.39,33.79,30,4402,563,1582,551,10.898,,NEAR OCEAN,5,,500001,500001
-117.13,32.74,46,3355,768,1457,708,2.6604,,NEAR OCEAN,2,,170100,167338
-122.45,37.74,38,5688,930,2263,908,6.203,,NEAR BAY,5,,346800,419681.28
-122.47,38.29,14,3732,846,1277,775,2.5658,,NEAR BAY,2,,208000,194911
-122.54,37.95,38,2310,400,971,386,5.697,,NEAR BAY,4,,435700,392842.03
-123.1,38.79,20,3109,712,1643,638,2.8344,,<1H OCEAN,2,,164400,143003
-117.07,32.56,9,3648,895,3293,840,3.0992,,NEAR OCEAN,3,,142600,156012
-118.43,34.08,46,778,90,238,93,15.0001,,<1H OCEAN,5,,500001,475927.71
-122.05,36.97,16,3363,611,1603,556,4.2542,,NEAR OCEAN,3,,294100,278865
-122.25,37.49,43,2607,477,1225,461,4.224,,NEAR OCEAN,3,,349600,343684.01
-117.87,34.14,30,2495,586,1139,559,2.9375,,INLAND,2,,209200,162335
-118.2,34.05,42,1703,586,2490,581,2.02,,<1H OCEAN,2,,147200,141716
-121.32,37.94,36,40,10,64,14,2.625,,INLAND,2,,55000,185648.2
-120.96,38.66,11,2339,436,1062,380,3.9036,,INLAND,3,,180800,162599
-120.43,34.96,24,2739,414,1171,413,4.8155,,<1H OCEAN,4,,162900,218216.02
-122.28,37.9,52,2003,250,658,244,10.0825,,NEAR BAY,5,,397000,495415.95
-122,37.08,17,4154,739,2149,693,5.5919,,NEAR OCEAN,4,,373400,305957
-118.34,33.87,34,1069,217,601,212,4.6406,,<1H OCEAN,4,,255900,290194
-118.52,34.21,36,1328,287,823,273,4.5648,,<1H OCEAN,4,,193700,211181
-118.22,34.09,42,1706,488,1941,447,2.5213,,<1H OCEAN,2,,149700,153046
-118.27,34.1,51,3149,519,1082,510,6.4459,,<1H OCEAN,5,,421600,460311.44
-117.58,34.02,4,5998,1092,3182,1042,5.2692,,INLAND,4,,174800,181588
-118.22,34.08,31,394,117,573,131,1.8173,,<1H OCEAN,2,,154200,149949
-121.78,36.93,21,2794,662,2236,565,2.4053,,<1H OCEAN,2,,178400,156392
-117.36,33.18,39,1546,291,833,308,2.8893,,NEAR OCEAN,2,,185400,231271
-119.01,35.36,24,1941,484,1277,435,1.056,,INLAND,1,,51600,56950
-117.81,34.11,21,3481,808,1866,746,3.6201,,INLAND,3,,150400,170761
-118.1,34.02,33,1143,172,508,174,4.9107,,<1H OCEAN,4,,279900,197660
-117.03,32.96,16,3424,698,1940,645,4.121,,<1H OCEAN,3,,182100,176194
